id: 19383 , bb_dists : 88.160438
id: 14983 , bb_dists : 11.000000
id: 45368 , bb_dists : 65.739130
id: 48168 , bb_dists : 82.496970
id: 24661 , bb_dists : 96.342090
id: 54990 , bb_dists : 99.023154
id: 26245 , bb_dists : 95.593383
id: 54974 , bb_dists : 97.744898
id: 51400 , bb_dists : 21.000000
id: 26309 , bb_dists : 85.154195
id: 21046 , bb_dists : 88.000000
id: 32860 , bb_dists : 19.902439
id: 5442 , bb_dists : 91.000000
id: 4035 , bb_dists : 103.913462
id: 58010 , bb_dists : 17.217391
id: 24642 , bb_dists : 19.980695
id: 10817 , bb_dists : 89.558180
id: 18295 , bb_dists : 85.992248
id: 41657 , bb_dists : 85.340081
id: 11601 , bb_dists : 96.342090
id: 58874 , bb_dists : 19.458797
id: 32468 , bb_dists : 87.158406
id: 60282 , bb_dists : 13.000000
id: 49048 , bb_dists : 83.067004
id: 1459 , bb_dists : 100.303645
id: 54734 , bb_dists : 92.971322
id: 54462 , bb_dists : 105.105535
id: 30803 , bb_dists : 16.864865
id: 5010 , bb_dists : 93.904255
id: 37213 , bb_dists : 14.933333
id: 44590 , bb_dists : 22.000000
id: 14608 , bb_dists : 81.000000
id: 19063 , bb_dists : 86.712644
id: 2355 , bb_dists : 84.811765
id: 22433 , bb_dists : 25.000000
id: 27170 , bb_dists : 20.316623
id: 30884 , bb_dists : 87.086322
id: 28069 , bb_dists : 96.161335
id: 52623 , bb_dists : 97.351079
id: 12241 , bb_dists : 96.993483
id: 11073 , bb_dists : 84.418663
id: 16208 , bb_dists : 96.342090
id: 21046 , bb_dists : 94.325166
id: 19495 , bb_dists : 82.496970
id: 100 , bb_dists : 11.000000
id: 39482 , bb_dists : 93.356539
id: 64043 , bb_dists : 12.000000
id: 63195 , bb_dists : 77.470968
id: 19927 , bb_dists : 86.156326
id: 52287 , bb_dists : 63.581886
id: 33548 , bb_dists : 16.000000
id: 49615 , bb_dists : 96.907216
id: 38093 , bb_dists : 13.000000
id: 11254 , bb_dists : 21.000000
id: 27013 , bb_dists : 101.385324
id: 54078 , bb_dists : 95.391648
id: 19632 , bb_dists : 11.000000
id: 25461 , bb_dists : 96.865822
id: 12448 , bb_dists : 90.725275
id: 1300 , bb_dists : 11.000000
id: 40794 , bb_dists : 98.359892
id: 1876 , bb_dists : 16.295006
id: 44137 , bb_dists : 95.332918
id: 4213 , bb_dists : 12.923077
id: 35163 , bb_dists : 96.382308
id: 15168 , bb_dists : 93.356539
id: 35116 , bb_dists : 13.000000
id: 2403 , bb_dists : 98.359892
id: 14999 , bb_dists : 19.500000
id: 46712 , bb_dists : 85.992248
id: 36890 , bb_dists : 90.824285
id: 36059 , bb_dists : 80.797836
id: 25045 , bb_dists : 92.731183
id: 29011 , bb_dists : 14.666667
id: 24033 , bb_dists : 11.000000
id: 4866 , bb_dists : 105.000000
id: 22449 , bb_dists : 27.000000
id: 57182 , bb_dists : 95.547256
id: 41353 , bb_dists : 98.359892
id: 3300 , bb_dists : 21.000000
id: 20000 , bb_dists : 20.316623
id: 43465 , bb_dists : 100.910891
id: 21153 , bb_dists : 13.000000
id: 31011 , bb_dists : 19.242291
id: 11958 , bb_dists : 25.000000
id: 41166 , bb_dists : 11.000000
id: 23457 , bb_dists : 12.000000
id: 37613 , bb_dists : 74.000000
id: 26354 , bb_dists : 74.000000
id: 40189 , bb_dists : 17.837838
id: 64555 , bb_dists : 17.001009
id: 45656 , bb_dists : 93.000000
id: 37197 , bb_dists : 20.093023
id: 18087 , bb_dists : 89.722222
id: 63788 , bb_dists : 95.343462
id: 61114 , bb_dists : 23.000000
id: 28258 , bb_dists : 12.000000
id: 21617 , bb_dists : 14.882353
id: 49743 , bb_dists : 93.078611
id: 7042 , bb_dists : 100.955912
id: 3924 , bb_dists : 17.948718
id: 59373 , bb_dists : 94.312466
id: 57437 , bb_dists : 82.000000
id: 40797 , bb_dists : 21.000000
id: 61354 , bb_dists : 21.000000
id: 61484 , bb_dists : 95.343462
id: 62236 , bb_dists : 78.987500
id: 62748 , bb_dists : 81.000000
id: 19712 , bb_dists : 16.342857
id: 28133 , bb_dists : 85.000000
id: 62140 , bb_dists : 101.300493
id: 23185 , bb_dists : 28.000000
id: 46632 , bb_dists : 84.355030
id: 59789 , bb_dists : 89.095346
id: 23206 , bb_dists : 83.749188
id: 59821 , bb_dists : 89.095346
id: 6098 , bb_dists : 92.475676
id: 21734 , bb_dists : 99.296482
id: 14439 , bb_dists : 13.000000
id: 60701 , bb_dists : 95.801294
id: 22385 , bb_dists : 13.928571
id: 26485 , bb_dists : 86.992337
id: 53055 , bb_dists : 94.374259
id: 18128 , bb_dists : 78.471338
id: 11473 , bb_dists : 97.189744
id: 57182 , bb_dists : 61.000000
id: 23750 , bb_dists : 101.911765
id: 27973 , bb_dists : 91.222012
id: 64347 , bb_dists : 14.666667
id: 16103 , bb_dists : 76.000000
id: 8694 , bb_dists : 76.000000
id: 1107 , bb_dists : 96.342090
